[11961:11971:16032260448:ERROR:web_data_service.cc(657)] Cannot initialize the web database: 2
[11961:11961:16033402136:ERROR:CONSOLE(1)] "Uncaught ReferenceError: InspectorFrontendAPI is not defined", source:  (1)
{"page": "longisland.craigslist.org_"}
{"DOMLoad": 16033.778700}
{"Resource": {"id": 1, "url": "http://longisland.craigslist.org/", "sentTime": -1.000000, "len": 55648, "from": "(nil)",                            "mimeType": "text/html", "contentLength": -1, "httpStatus": 200, "connId": 76, "connReused": 0, "cached": 1,                            "requestTime": 16032.997432, "proxyStart": -1, "proxyEnd": -1, "dnsStart": -1, "dnsEnd": -1, "connectStart": -1, "connectEnd": -1, "sendStart": 0, "sendEnd": 0, "receiveHeadersEnd": 0, "sslStart": -1, "sslEnd": -1}}
{"ReceivedChunk": {"receivedTime": 16033.001821, "len": 55648}}
{"WprofHTMLTag": {"code": "0xb98aed20", "doc": "http://longisland.craigslist.org/", "row": 1, "column": 20, "tagName": "html", "time": 16033.002826, "url": "", "pos": 36, "chunkLen": 55628, "isStartTag": 1}}
{"WprofHTMLTag": {"code": "0xb98aec90", "doc": "http://longisland.craigslist.org/", "row": 2, "column": 6, "tagName": "head", "time": 16033.002917, "url": "", "pos": 43, "chunkLen": 55628, "isStartTag": 1}}
{"WprofHTMLTag": {"code": "0xb98aed80", "doc": "http://longisland.craigslist.org/", "row": 3, "column": 7, "tagName": "title", "time": 16033.002934, "url": "", "pos": 51, "chunkLen": 55628, "isStartTag": 1}}
{"WprofHTMLTag": {"code": "0xb9852ab0", "doc": "http://longisland.craigslist.org/", "row": 3, "column": 113, "tagName": "title", "time": 16033.004378, "url": "", "pos": 157, "chunkLen": 55628, "isStartTag": 0}}
{"WprofHTMLTag": {"code": "0xb9852b10", "doc": "http://longisland.craigslist.org/", "row": 5, "column": 67, "tagName": "meta", "time": 16033.004386, "url": "", "pos": 226, "chunkLen": 55628, "isStartTag": 1}}
{"WprofHTMLTag": {"code": "0xb9852ba0", "doc": "http://longisland.craigslist.org/", "row": 6, "column": 162, "tagName": "meta", "time": 16033.004398, "url": "", "pos": 389, "chunkLen": 55628, "isStartTag": 1}}
{"WprofHTMLTag": {"code": "0xb9852c00", "doc": "http://longisland.craigslist.org/", "row": 7, "column": 92, "tagName": "meta", "time": 16033.004403, "url": "", "pos": 482, "chunkLen": 55628, "isStartTag": 1}}
{"WprofHTMLTag": {"code": "0xb9852c90", "doc": "http://longisland.craigslist.org/", "row": 8, "column": 72, "tagName": "meta", "time": 16033.004406, "url": "", "pos": 555, "chunkLen": 55628, "isStartTag": 1}}
{"WprofHTMLTag": {"code": "0xb9852d20", "doc": "http://longisland.craigslist.org/", "row": 9, "column": 67, "tagName": "meta", "time": 16033.004410, "url": "", "pos": 623, "chunkLen": 55628, "isStartTag": 1}}
{"WprofHTMLTag": {"code": "0xb9852de0", "doc": "http://longisland.craigslist.org/", "row": 10, "column": 128, "tagName": "link", "time": 16033.004425, "url": "http://www.craigslist.org/styles/cl.css?v=967fa9452cfdc85f6447f07aaf823b75", "pos": 752, "chunkLen": 55628, "isStartTag": 1}}
{"WprofHTMLTag": {"code": "0xb9852f00", "doc": "http://longisland.craigslist.org/", "row": 11, "column": 134, "tagName": "link", "time": 16033.004596, "url": "http://www.craigslist.org/styles/homepage.css?v=d9cdc4619d124ffc7320716386f6c9ae", "pos": 887, "chunkLen": 55628, "isStartTag": 1}}
